anatom_site_general,anatom_site_general
anatomic,anatomic
biopsy_done,biopsy done
biopsy_previous,previous biopsy
dermoscopy,dermoscopy
diagnosis_alt,diagnosis
diagnosis_pathology,pathology diagnosis
diagnosis_pathology_subtype,pathology diagnosis subtype
diagnosis_short,diagnosis_short
grade,grade
laterality,laterality
localization,localization
location,Location
location,location
mel_assoc_nev,mel_assoc_nev
mel_assoc_nevus,mel_assoc_nevus
mel_class,mel_class
mel_mit,mel_mit
mel_thick,mel_thick
mel_type,mel_type
nevus_type,nevus_type
pathology_report_available,pathology report available
patient,patient
patient_location,patientlocation
race,race
site,site
ulcer,ulcer
vertical,vertical
